,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy
566,f,4.0,-22.90721330615735,-43.40724507582449,Chalet,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Free parking on premises"",""Smoking allowed"",Breakfast,""Family/kid friendly"",""Suitable for events"",""First aid kit"",""24-hour check-in"",Hangers}",$198.00,1,$0.00,3,1125,0.0,f,f,strict_14_with_grace_period
567,f,4.0,-22.906024883203177,-43.40892853680956,House,Private room,3,1.0,1.0,3.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events""}",$249.00,1,$0.00,1,1125,0.0,f,f,strict_14_with_grace_period
568,f,4.0,-22.906175269617737,-43.40834853005014,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events""}",$198.00,1,$0.00,1,1125,0.0,f,f,strict_14_with_grace_period
570,t,3.0,-22.94969008525224,-43.18553269552725,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Window guards"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you"",""Paid parking on premises""}",$198.00,2,$40.00,2,65,144.0,t,f,strict_14_with_grace_period
571,f,3.0,-22.978632424354483,-43.19001203951434,Apartment,Entire home/apt,7,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Washer,""Fire extinguisher"",Essentials,""Hair dryer"",""Hot water"",""Host greets you""}",$396.00,6,$88.00,3,90,0.0,t,f,strict_14_with_grace_period
573,f,2.0,-22.95506424094596,-43.17513823579456,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",$777.00,3,$117.00,3,1000,2.0,f,f,strict_14_with_grace_period
574,f,3.0,-22.975486285711717,-43.19008521494207,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),""Other pet(s)"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",$101.00,1,$50.00,5,90,17.0,f,f,strict_14_with_grace_period
575,f,3.0,-22.97494985342145,-43.18883359835319,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),""Other pet(s)"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",""Hair dryer"",""Hot water"",""Host greets you""}",$101.00,1,$50.00,3,1125,20.0,f,f,moderate
576,t,2.0,-22.970777384066352,-43.18481663852539,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$260.00,2,$50.00,2,1125,88.0,f,f,flexible
577,f,4.0,-22.965620722590828,-43.17633365836895,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,Doorman,Elevator,""Buzzer/wireless intercom""}",$385.00,1,$0.00,1,30,6.0,f,f,strict_14_with_grace_period
578,f,4.0,-22.965105066926327,-43.1764236508568,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Air conditioning"",Doorman,Elevator}",$311.00,1,$0.00,1,30,17.0,f,f,strict_14_with_grace_period
579,f,4.0,-22.96474268325365,-43.17554733851634,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom""}",$385.00,1,$0.00,1,30,9.0,f,f,strict_14_with_grace_period
580,f,5.0,-22.971580306606512,-43.394422979361146,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$124.00,2,$125.00,5,90,0.0,f,f,strict_14_with_grace_period
581,t,2.0,-22.983715592038397,-43.19458502850025,Apartment,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Changing table"",""Children’s books and toys"",""Window guards"",""Babysitter recommendations"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Host greets you""}",$369.00,2,$90.00,2,27,32.0,f,f,moderate
